[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 4346 4259 5154 6173 6317 6188 False
[vector] 6046 5687 6159 8315 5648 6268 False
[vector] 5045 5114 6037 7383 6026 5296 False
[vector] 6533 5717 5535 7608 4517 6988 False
[vector] 5790 5014 7835 5755 5228 5400 False
[vector] 6519 6316 7023 7439 4475 7100 False
[vector] 6748 5435 6753 7051 4640 6593 False
[vector] 5771 4347 7580 6457 6135 4437 False
[vector] 6974 6539 6853 6845 3590 6185 False
[vector] 6283 4910 6742 7677 5726 6376 False
[vector] 6333 6521 6123 6690 3470 6542 False
[vector] 6692 5225 7929 6324 5078 5488 False
[vector] 4304 5534 6441 6988 6037 5997 False
[vector] 6895 5954 6274 7749 4462 6124 False
[vector] 5353 4937 6578 6960 5953 6326 False
[vector] 6134 5652 7538 7049 5470 6302 False
[vector] 5515 5202 5750 7405 4795 7528 False
[vector] 4609 5854 7210 6742 5487 6122 False
[vector] 7667 5431 6210 6851 3847 4800 False
[vector] 6676 5193 7414 7890 5327 5855 False
[vector] 6524 4459 6147 7316 4822 6857 False
[vector] 6994 5910 7110 7186 4509 6600 False
[vector] 5508 4849 7746 6788 5598 6413 False
[vector] 5947 5871 7155 6486 4201 7031 False
[vector] 6299 5937 6314 7578 4627 6869 False
[vector] 5145 5065 6368 7447 6038 5359 False
[vector] 4304 5474 7051 6608 6092 6024 False
[vector] 6782 6293 6337 7702 4506 6660 False
[vector] 6801 5290 6640 7483 4118 6539 False
[vector] 6490 4794 5892 8090 5407 6140 False
[vector] 5520 4663 5080 7921 5472 7103 False
[vector] 6815 4486 7159 6726 5507 5108 False
[vector] 5108 6192 7154 6978 4957 5391 False
[vector] 6566 5841 6192 7735 4647 6730 False
[vector] 5504 6020 7389 6855 4957 5277 False
[vector] 6602 6468 7182 7125 4378 6629 False
[vector] 5981 5396 5578 8104 5016 6509 False
[vector] 5738 6154 6758 7433 5134 5989 False
[vector] 7154 6269 7091 7303 4018 6734 False
[vector] 6589 5736 6211 7300 4641 7088 False
[vector] 5826 4902 7695 5896 5462 5181 False
[vector] 6021 6256 7255 6694 4596 6255 False
[vector] 6110 6130 7512 7034 4646 6063 False
[vector] 6511 4569 7845 5830 5174 4765 False
[vector] 6474 5491 5616 7688 4462 7238 False
[vector] 4311 4868 6342 7598 6006 4691 False
[vector] 6034 5320 5423 7356 4924 7176 False
